user_id,amount,monthly_budget,cumulative_spend,financial_health_score,day_of_week,is_weekend,is_month_end,transaction_to_budget_ratio,budget_utilization_ratio,user_avg_transaction,amount_vs_user_avg,category_Hiburan & Nongkrong,category_Kebutuhan Kuliah,category_Makan & Minum,category_Tagihan & Kos,category_Transportasi,payment_method_Credit Card,payment_method_E-Wallet
CUST00001,179000,1614000,179000,88.91,1,0,0,0.11090458488228006,0.11090458488228006,157045.45454545456,21954.54545454544,True,False,False,False,False,False,False
CUST00001,29000,1614000,208000,87.11,4,0,0,0.017967781908302356,0.1288723667905824,157045.45454545456,-128045.45454545456,False,False,True,False,False,False,False
CUST00001,480000,1614000,480000,70.26,4,0,0,0.29739776951672864,0.29739776951672864,157045.45454545456,322954.5454545454,False,False,False,False,False,True,False
CUST00001,52000,1614000,532000,67.04,5,1,0,0.0322180916976456,0.32961586121437425,157045.45454545456,-105045.45454545456,False,True,False,False,False,True,False
CUST00001,45000,1614000,45000,97.21,6,1,0,0.027881040892193308,0.027881040892193308,157045.45454545456,-112045.45454545456,False,False,False,False,True,True,False
CUST00001,39000,1614000,39000,97.58,6,1,0,0.024163568773234202,0.024163568773234202,157045.45454545456,-118045.45454545456,False,False,True,False,False,False,True
CUST00001,1739000,1614000,1739000,0.0,6,1,0,1.077447335811648,1.077447335811648,157045.45454545456,1581954.5454545454,False,False,False,True,False,False,False
CUST00001,35000,1614000,35000,97.83,3,0,0,0.02168525402726146,0.02168525402726146,157045.45454545456,-122045.45454545456,False,False,True,False,False,False,True
CUST00001,63000,1614000,63000,96.1,2,0,0,0.03903345724907063,0.03903345724907063,157045.45454545456,-94045.45454545456,False,False,True,False,False,False,False
CUST00001,176000,1614000,176000,89.1,6,1,0,0.1090458488228005,0.1090458488228005,157045.45454545456,18954.54545454544,True,False,False,False,False,False,True
CUST00001,29000,1614000,29000,98.2,3,0,0,0.017967781908302356,0.017967781908302356,157045.45454545456,-128045.45454545456,False,False,True,False,False,False,True
CUST00001,65000,1614000,65000,95.97,2,0,0,0.040272614622057,0.040272614622057,157045.45454545456,-92045.45454545456,True,False,False,False,False,True,False
CUST00001,18000,1614000,18000,98.88,6,1,0,0.011152416356877323,0.011152416356877323,157045.45454545456,-139045.45454545456,False,False,False,False,True,True,False
CUST00001,174000,1614000,192000,88.1,2,0,0,0.10780669144981413,0.11895910780669144,157045.45454545456,16954.54545454544,False,True,False,False,False,False,True
CUST00001,68000,1614000,68000,95.79,2,0,0,0.042131350681536554,0.042131350681536554,157045.45454545456,-89045.45454545456,False,False,True,False,False,False,False
CUST00001,87000,1614000,87000,94.61,3,0,0,0.05390334572490706,0.05390334572490706,157045.45454545456,-70045.45454545456,True,False,False,False,False,False,False
CUST00001,48000,1614000,135000,91.64,0,0,0,0.02973977695167286,0.08364312267657993,157045.45454545456,-109045.45454545456,False,False,True,False,False,False,False
CUST00001,17000,1614000,152000,90.58,6,1,0,0.010532837670384139,0.09417596034696406,157045.45454545456,-140045.45454545456,False,False,True,False,False,False,True
CUST00001,25000,1614000,177000,89.03,0,0,0,0.015489467162329617,0.10966542750929369,157045.45454545456,-132045.45454545456,False,False,False,False,True,False,True
CUST00001,29000,1614000,29000,98.2,2,0,0,0.017967781908302356,0.017967781908302356,157045.45454545456,-128045.45454545456,False,False,False,False,True,False,False
CUST00001,30000,1614000,59000,96.34,5,1,0,0.01858736059479554,0.036555142503097895,157045.45454545456,-127045.45454545456,False,False,True,False,False,False,False
CUST00001,28000,1614000,87000,94.61,0,0,0,0.01734820322180917,0.05390334572490706,157045.45454545456,-129045.45454545456,False,False,True,False,False,False,False
CUST00002,73000,3163000,73000,97.69,0,0,0,0.023079355042681,0.023079355042681,106173.91304347826,-33173.91304347826,False,False,True,False,False,False,True
CUST00002,162000,3163000,162000,94.88,3,0,0,0.05121719886184003,0.05121719886184003,106173.91304347826,55826.08695652174,False,True,False,False,False,True,False
CUST00002,46000,3163000,46000,98.55,4,0,0,0.014543155232374328,0.014543155232374328,106173.91304347826,-60173.91304347826,False,False,True,False,False,False,True
CUST00002,12000,3163000,12000,99.62,2,0,0,0.0037938665823585203,0.0037938665823585203,106173.91304347826,-94173.91304347826,False,False,False,False,True,True,False
CUST00002,26000,3163000,38000,98.8,0,0,0,0.008220044261776794,0.012013910844135315,106173.91304347826,-80173.91304347826,False,False,False,False,True,True,False
CUST00002,49000,3163000,49000,98.45,0,0,0,0.015491621877963959,0.015491621877963959,106173.91304347826,-57173.91304347826,False,False,False,False,True,True,False
CUST00002,30000,3163000,30000,99.05,5,1,0,0.0094846664558963,0.0094846664558963,106173.91304347826,-76173.91304347826,False,False,True,False,False,True,False
CUST00002,166000,3163000,196000,93.8,4,0,0,0.052481821055959534,0.061966487511855836,106173.91304347826,59826.08695652174,True,False,False,False,False,True,False
CUST00002,497000,3163000,497000,84.29,6,1,0,0.1571293076193487,0.1571293076193487,106173.91304347826,390826.0869565217,False,False,False,False,False,True,False
CUST00002,52000,3163000,549000,82.64,0,0,0,0.016440088523553588,0.17356939614290232,106173.91304347826,-54173.91304347826,False,True,False,False,False,True,False
CUST00002,73000,3163000,73000,97.69,6,1,0,0.023079355042681,0.023079355042681,106173.91304347826,-33173.91304347826,False,False,True,False,False,False,False
CUST00002,158000,3163000,231000,92.7,5,1,0,0.049952576667720516,0.07303193171040152,106173.91304347826,51826.08695652174,False,True,False,False,False,False,False
CUST00002,161000,3163000,161000,94.91,3,0,0,0.05090104331331015,0.05090104331331015,106173.91304347826,54826.08695652174,True,False,False,False,False,True,False
CUST00002,97000,3163000,97000,96.93,3,0,0,0.03066708820739804,0.03066708820739804,106173.91304347826,-9173.913043478256,False,True,False,False,False,True,False
CUST00002,24000,3163000,24000,99.24,4,0,0,0.0075877331647170405,0.0075877331647170405,106173.91304347826,-82173.91304347826,False,False,True,False,False,True,False
CUST00002,258000,3163000,282000,91.08,6,1,0,0.08156813152070819,0.08915586468542523,106173.91304347826,151826.08695652173,True,False,False,False,False,False,True
CUST00002,157000,3163000,439000,86.12,0,0,0,0.049636421119190643,0.13879228580461586,106173.91304347826,50826.08695652174,False,False,False,False,False,False,False
CUST00002,29000,3163000,29000,99.08,6,1,0,0.009168510907366425,0.009168510907366425,106173.91304347826,-77173.91304347826,False,False,True,False,False,True,False
CUST00002,119000,3163000,119000,96.24,0,0,0,0.03762251027505533,0.03762251027505533,106173.91304347826,12826.086956521744,True,False,False,False,False,False,False
CUST00002,72000,3163000,191000,93.96,2,0,1,0.02276319949415112,0.06038570976920645,106173.91304347826,-34173.91304347826,False,False,True,False,False,False,True
CUST00002,17000,3163000,17000,99.46,3,0,0,0.005374644325007904,0.005374644325007904,106173.91304347826,-89173.91304347826,False,False,False,False,True,False,True
CUST00002,91000,3163000,91000,97.12,4,0,0,0.02877015491621878,0.02877015491621878,106173.91304347826,-15173.913043478256,True,False,False,False,False,True,False
CUST00002,73000,3163000,73000,97.69,4,0,0,0.023079355042681,0.023079355042681,106173.91304347826,-33173.91304347826,False,True,False,False,False,True,False
CUST00004,33000,1878000,33000,98.24,1,0,0,0.01757188498402556,0.01757188498402556,139484.84848484848,-106484.84848484848,False,False,True,False,False,True,False
CUST00004,18000,1878000,51000,97.28,2,0,0,0.009584664536741214,0.027156549520766772,139484.84848484848,-121484.84848484848,False,False,True,False,False,True,False
CUST00004,468000,1878000,519000,72.36,4,0,0,0.24920127795527156,0.2763578274760383,139484.84848484848,328515.1515151515,False,False,False,False,False,True,False
CUST00004,33000,1878000,33000,98.24,3,0,0,0.01757188498402556,0.01757188498402556,139484.84848484848,-106484.84848484848,False,False,False,False,True,False,False
CUST00004,52000,1878000,52000,97.23,5,1,0,0.027689030883919063,0.027689030883919063,139484.84848484848,-87484.84848484848,False,False,True,False,False,True,False
CUST00004,571000,1878000,623000,66.83,0,0,0,0.30404685835995743,0.3317358892438765,139484.84848484848,431515.1515151515,False,False,False,True,False,False,False
CUST00004,74000,1878000,697000,62.89,4,0,0,0.039403620873269436,0.3711395101171459,139484.84848484848,-65484.84848484848,False,False,True,False,False,False,False
CUST00004,40000,1878000,737000,60.76,5,1,0,0.021299254526091587,0.3924387646432375,139484.84848484848,-99484.84848484848,False,False,False,False,True,True,False
CUST00004,54000,1878000,54000,97.12,4,0,0,0.02875399361022364,0.02875399361022364,139484.84848484848,-85484.84848484848,False,False,True,False,False,False,True
CUST00004,168000,1878000,168000,91.05,0,0,0,0.08945686900958466,0.08945686900958466,139484.84848484848,28515.15151515152,True,False,False,False,False,False,False
